电影名称,电影别名,电影导演,上映时间,上映国家,分类,评分,评价人数
肖申克的救赎, / 月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,1599301
霸王别姬, / 再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1182033
阿甘正传, / 福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,1243091
这个杀手不太冷, / 杀手莱昂  /  终极追杀令(台),吕克·贝松 Luc Besson,1994,法国,剧情 动作 犯罪,9.4,1435055
美丽人生, / 一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,727376
泰坦尼克号, / 铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron,1997,美国,剧情 爱情 灾难,9.4,1183807
千与千寻, / 神隐少女(台)  /  千与千寻的神隐,宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.3,1274919
辛德勒的名单, / 舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,643371
盗梦空间, / 潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,1224773
忠犬八公的故事, / 忠犬小八(台)  /  秋田犬八千(港),莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.3,823326
机器人总动员, / 瓦力(台)  /  太空奇兵·威E(港),安德鲁·斯坦顿 Andrew Stanton,2008,美国,爱情 科幻 动画 冒险,9.3,812164
三傻大闹宝莱坞, / 三个傻瓜(台)  /  作死不离3兄弟(港),拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1109314
放牛班的春天, / 歌声伴我心(港)  /  唱诗班男孩,克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,9.3,773259
海上钢琴师, / 声光伴我飞(港)  /  一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.2,895869
楚门的世界, / 真人Show(港)  /  真人戏,彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.2,862242
星际穿越, / 星际启示录(港)  /  星际效应(台),克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,9.3,883149
大话西游之大圣娶亲, / 西游记完结篇仙履奇缘  /  齐天大圣西游记,刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,864186
龙猫, / 邻居托托罗  /  邻家的豆豆龙,宫崎骏 Hayao Miyazaki,1988,日本,动画 奇幻 冒险,9.2,759787
熔炉, / 无声呐喊(港)  /  漩涡,黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,9.3,513191
教父, / Mario Puzo's The Godfather,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,9.3,552071
无间道, / Infernal Affairs  /  Mou gaan dou,刘伟强 / 麦兆辉,2002,中国香港,剧情 犯罪 悬疑,9.2,709431
疯狂动物城, / 优兽大都会(港)  /  动物方城市(台),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,1000817
当幸福来敲门, / 寻找快乐的故事(港)  /  追求快乐,加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,9.1,898371
怦然心动, / 萌动青春  /  青春萌动,罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,9.0,1007057
触不可及, / 闪亮人生(港)  /  逆转人生(台),奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,法国,剧情 喜剧,9.2,585535
蝙蝠侠：黑暗骑士, / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.1,582263
乱世佳人, / 飘,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,404036
活着, / 人生  /  Lifetimes,张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.2,458181
控方证人, / 雄才伟略  /  情妇,比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑,9.6,208972
少年派的奇幻漂流, / 少年Pi的奇幻漂流  /  漂流少年Pi,李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.0,875107
摔跤吧！爸爸, / 我和我的冠军女儿(台)  /  打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,881194
指环王3：王者无敌, / 魔戒三部曲：王者再临(台 / 港) ,彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.2,442991
鬼子来了, / Devils on the Doorstep,姜文 Wen Jiang,2000,中国大陆,剧情 历史 战争,9.2,371587
天空之城, / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.1,518905
十二怒汉, / 12怒汉  /  十二怒汉,Sidney Lumet,1957,美国,剧情,9.4,264401
飞屋环游记, / 冲天救兵(港)  /  天外奇迹(台),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.0,796687
天堂电影院, / 星光伴我心(港)  /  新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,423855
大话西游之月光宝盒, / 西游记101回月光宝盒  /  齐天大圣东游记,刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,698075
哈尔的移动城堡, / 呼啸山城  /  霍尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.0,585011
寻梦环游记, / 可可夜总会(台)  /  玩转极乐园(港),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,840922
